# Race ratings. Fill `rating` with: Safe D, Likely D, Lean D, Toss-up, Lean R, Likely R, Safe R
# (Tilt D / Tilt R and Solid D / Solid R are accepted). Leave blank rows blank. Delete sources you do not use.
# To activate: copy to data_store/manual/race_ratings_2026.csv
race_id,source,rating
H-FL-03,cook,
H-FL-03,sabato,
H-FL-03,inside,
H-FL-04,cook,
H-FL-04,sabato,
H-FL-04,inside,
H-FL-05,cook,
H-FL-05,sabato,
H-FL-05,inside,
H-FL-06,cook,
H-FL-06,sabato,
H-FL-06,inside,
H-FL-07,cook,
H-FL-07,sabato,
H-FL-07,inside,
H-FL-08,cook,
H-FL-08,sabato,
H-FL-08,inside,
H-FL-09,cook,
H-FL-09,sabato,
H-FL-09,inside,
H-FL-10,cook,
H-FL-10,sabato,
H-FL-10,inside,
H-FL-11,cook,
H-FL-11,sabato,
H-FL-11,inside,
H-FL-12,cook,
H-FL-12,sabato,
H-FL-12,inside,
H-FL-13,cook,
H-FL-13,sabato,
H-FL-13,inside,
H-FL-14,cook,
H-FL-14,sabato,
H-FL-14,inside,
H-FL-15,cook,
H-FL-15,sabato,
H-FL-15,inside,
H-FL-16,cook,
H-FL-16,sabato,
H-FL-16,inside,
H-FL-17,cook,
H-FL-17,sabato,
H-FL-17,inside,
H-FL-18,cook,
H-FL-18,sabato,
H-FL-18,inside,
H-FL-19,cook,
H-FL-19,sabato,
H-FL-19,inside,
H-FL-20,cook,
H-FL-20,sabato,
H-FL-20,inside,
H-FL-21,cook,
H-FL-21,sabato,
H-FL-21,inside,
H-FL-22,cook,
H-FL-22,sabato,
H-FL-22,inside,
H-FL-23,cook,
H-FL-23,sabato,
H-FL-23,inside,
H-FL-24,cook,
H-FL-24,sabato,
H-FL-24,inside,
H-FL-25,cook,
H-FL-25,sabato,
H-FL-25,inside,
H-FL-26,cook,
H-FL-26,sabato,
H-FL-26,inside,
H-FL-27,cook,
H-FL-27,sabato,
H-FL-27,inside,
H-FL-28,cook,
H-FL-28,sabato,
H-FL-28,inside,
H-GA-01,cook,
H-GA-01,sabato,
H-GA-01,inside,
H-GA-02,cook,
H-GA-02,sabato,
H-GA-02,inside,
H-GA-03,cook,
H-GA-03,sabato,
H-GA-03,inside,
H-GA-04,cook,
H-GA-04,sabato,
H-GA-04,inside,
H-GA-05,cook,
H-GA-05,sabato,
H-GA-05,inside,
H-GA-06,cook,
H-GA-06,sabato,
H-GA-06,inside,
H-GA-07,cook,
H-GA-07,sabato,
H-GA-07,inside,
H-GA-08,cook,
H-GA-08,sabato,
H-GA-08,inside,
H-GA-09,cook,
H-GA-09,sabato,
H-GA-09,inside,
H-GA-10,cook,
H-GA-10,sabato,
H-GA-10,inside,
H-GA-11,cook,
H-GA-11,sabato,
H-GA-11,inside,
H-GA-12,cook,
H-GA-12,sabato,
H-GA-12,inside,
H-GA-13,cook,
H-GA-13,sabato,
H-GA-13,inside,
H-GA-14,cook,
H-GA-14,sabato,
H-GA-14,inside,
H-HI-01,cook,
H-HI-01,sabato,
H-HI-01,inside,
H-HI-02,cook,
H-HI-02,sabato,
H-HI-02,inside,
H-ID-01,cook,
H-ID-01,sabato,
H-ID-01,inside,
H-ID-02,cook,
H-ID-02,sabato,
H-ID-02,inside,
H-IL-01,cook,
H-IL-01,sabato,
H-IL-01,inside,
H-IL-02,cook,
H-IL-02,sabato,
H-IL-02,inside,
H-IL-03,cook,
H-IL-03,sabato,
H-IL-03,inside,
H-IL-04,cook,
H-IL-04,sabato,
H-IL-04,inside,
H-IL-05,cook,
H-IL-05,sabato,
H-IL-05,inside,
H-IL-06,cook,
H-IL-06,sabato,
H-IL-06,inside,
H-IL-07,cook,
H-IL-07,sabato,
H-IL-07,inside,
H-IL-08,cook,
H-IL-08,sabato,
H-IL-08,inside,
H-IL-09,cook,
H-IL-09,sabato,
H-IL-09,inside,
H-IL-10,cook,
H-IL-10,sabato,
H-IL-10,inside,
H-IL-11,cook,
H-IL-11,sabato,
H-IL-11,inside,
H-IL-12,cook,
H-IL-12,sabato,
H-IL-12,inside,
H-IL-13,cook,
H-IL-13,sabato,
H-IL-13,inside,
H-IL-14,cook,
H-IL-14,sabato,
H-IL-14,inside,
H-IL-15,cook,
H-IL-15,sabato,
H-IL-15,inside,
H-IL-16,cook,
H-IL-16,sabato,
H-IL-16,inside,
H-IL-17,cook,
H-IL-17,sabato,
H-IL-17,inside,
H-IN-01,cook,
H-IN-01,sabato,
H-IN-01,inside,
H-IN-02,cook,
H-IN-02,sabato,
H-IN-02,inside,
H-IN-03,cook,
