level,n,fav_wins,p_fav_win,p_lo,p_hi,empirical_win_rate,empirical_margin_mean,empirical_margin_sd,margin_mean,margin_sd,provenance
Safe,376,376.0,0.9997474747474747,0.9985332934543328,0.9999999999999999,1.0,36.97880713169723,23.828041042540573,36.37381687252061,23.828041042540573,mirror
Likely,82,77.0,0.9372549019607842,0.8936521392787464,0.9711319377393687,0.9390243902439024,7.411728227989789,4.652489792819707,8.311389359756497,10.0,mirror
Lean,33,28.0,0.8226415094339623,0.7306132218992012,0.9007322981189575,0.8484848484848485,2.798261632984506,3.2426104068405737,4.0064647903488435,8.0,mirror
Toss-up,15,10.0,0.5,0.4332147530383893,0.7049323645952136,0.6666666666666666,1.6664684269098042,3.8285563491688537,0.0,8.0,mirror
