cycle,office,state,district,special,race_key,dem_pct,rep_pct,margin,winner_party,incumbent_party,uncontested,total_votes,dem_votes,rep_votes,provenance
1998,Governor,OR,0,False,G-OR,64.42029363092917,30.006432497408134,34.41386113352103,D,D,False,1110844.0,717061.0,334001.0,mirror
1998,Governor,PA,0,False,G-PA,31.03349784342901,57.41745045605848,-26.38395261262947,R,R,False,3024941.0,938745.0,1736844.0,mirror
1998,Governor,RI,0,False,G-RI,42.12990911909152,50.96509977320564,-8.835190654114115,R,R,False,306383.0,129105.0,156180.0,mirror
1998,Governor,SC,0,False,G-SC,53.23433585247122,45.20515581270912,8.029180039762096,D,R,False,1069316.0,570070.0,484088.0,mirror
1998,Governor,SD,0,False,G-SD,32.85060360433073,64.03894122304342,-31.188337618712694,R,R,False,260187.0,85473.0,166621.0,mirror
1998,Governor,TN,0,False,G-TN,29.47545470562446,68.62818007121228,-39.15272536558783,R,R,False,975688.0,287750.0,669973.0,mirror
1998,Governor,TX,0,False,G-TX,31.18158583100727,68.23883824789104,-37.05725241688377,R,R,False,3738078.0,1165592.0,2550821.0,mirror
1998,Governor,VT,0,False,G-VT,55.66889785439207,41.13607188703466,14.532825967357411,D,D,False,217774.0,121425.0,89726.0,mirror
1998,Governor,WI,0,False,G-WI,38.69860946438924,59.664444588710566,-20.965835124321323,R,R,False,1753594.0,679553.0,1047716.0,mirror
1998,Governor,WY,0,False,G-WY,40.45674946251315,55.598440144549656,-15.141690682036504,R,R,False,174888.0,70754.0,97235.0,mirror
1999,Governor,KY,0,False,G-KY,60.69897978533773,22.201994917889785,38.49698486744794,D,D,False,580074.0,352099.0,128788.0,mirror
1999,Governor,MS,0,False,G-MS,49.61574056499423,48.5237657031928,1.0919748618014324,D,R,False,763937.0,379033.0,370691.0,mirror
2000,Governor,DE,0,False,G-DE,59.243932515166776,39.74515482014655,19.498777695020223,D,D,False,323569.0,191695.0,128603.0,mirror
2000,Governor,IN,0,False,G-IN,56.55683468026879,41.678444321671314,14.878390358597478,D,D,False,2179268.0,1232525.0,908285.0,mirror
2000,Governor,MO,0,False,G-MO,49.119535714133534,48.20574988388592,0.9137858302476118,D,D,False,2346830.0,1152752.0,1131307.0,mirror
2000,Governor,MT,0,False,G-MT,47.08307329250693,50.98466084175215,-3.901587549245221,R,R,False,410192.0,193131.0,209135.0,mirror
2000,Governor,NC,0,False,G-NC,52.01535521685131,46.25871242686252,5.756642789988788,D,D,False,2942062.0,1530324.0,1360960.0,mirror
2000,Governor,ND,0,False,G-ND,44.96841872486282,55.0270894088704,-10.05867068400758,R,R,False,289412.0,130144.0,159255.0,mirror
2000,Governor,NH,0,False,G-NH,48.73622284438459,43.75943580111281,4.976787043271784,D,D,False,564340.0,275038.0,246952.0,mirror
2000,Governor,UT,0,False,G-UT,42.26522237945093,55.7670850584007,-13.50186267894977,R,R,False,761806.0,321979.0,424837.0,mirror
2000,Governor,VT,0,False,G-VT,50.45063770772779,37.94522835150082,12.50540935622697,D,D,False,293217.0,148059.0,111359.0,mirror
2000,Governor,WA,0,False,G-WA,58.38297193516049,39.68092015230062,18.70205178285987,D,D,False,2469852.0,1441973.0,980060.0,mirror
2000,Governor,WV,0,False,G-WV,50.123216371652056,47.20737847717835,2.915837894473704,D,R,False,648047.0,324822.0,305926.0,mirror
2001,Governor,NJ,0,False,G-NJ,56.43286420179915,41.675134083015855,14.757730118783293,D,R,False,2227165.0,1256853.0,928174.0,mirror
2001,Governor,VA,0,False,G-VA,52.16335642630786,47.02518284367429,5.13817358263357,D,R,False,1885908.0,984177.0,887234.0,mirror
2002,Governor,AK,0,False,G-AK,40.70086917454338,55.84792037462633,-15.147051200082949,R,D,False,231221.0,94216.0,129279.0,mirror
2002,Governor,AL,0,False,G-AL,48.94506650437109,49.17329467109175,-0.22822816672066182,R,D,False,1364602.0,669105.0,672225.0,mirror
2002,Governor,AR,0,False,G-AR,46.94698744936056,53.0078342203511,-6.060846770990537,R,R,False,805696.0,378250.0,427082.0,mirror
2002,Governor,AZ,0,False,G-AZ,46.18537799595632,45.22143590588454,0.9639420900717823,D,R,False,1226111.0,566284.0,554465.0,mirror
2002,Governor,CA,0,False,G-CA,47.26248011887146,42.39792860409365,4.8645515147778084,D,D,False,7476311.0,3533490.0,3169801.0,mirror
2002,Governor,CO,0,False,G-CO,33.65229555104693,62.62082313347992,-28.968527582432984,R,R,False,1412602.0,475373.0,884583.0,mirror
2002,Governor,CT,0,False,G-CT,43.8890398612705,56.10548603223076,-12.21644617096026,R,R,False,1022942.0,448984.0,573958.0,mirror
2002,Governor,FL,0,False,G-FL,43.16031840294272,56.01018785899097,-12.849869456048246,R,R,False,5100581.0,2201427.0,2856845.0,mirror
2002,Governor,GA,0,False,G-GA,46.254999726042406,51.418976918949525,-5.163977192907119,R,D,False,2025861.0,937062.0,1041677.0,mirror
2002,Governor,HI,0,False,G-HI,47.0144722723823,51.55819004998561,-4.543717777603312,R,D,False,382110.0,179647.0,197009.0,mirror
2002,Governor,IA,0,False,G-IA,52.68550850943944,44.512683734287904,8.172824775151533,D,D,False,1024787.0,540449.0,456612.0,mirror
2002,Governor,ID,0,False,G-ID,41.73040048410968,56.2767785319714,-14.546378047861722,R,R,False,411477.0,171711.0,231566.0,mirror
2002,Governor,IL,0,False,G-IL,52.19262192590842,45.06948645776318,7.123135468145236,D,R,False,3538891.0,1847040.0,1594960.0,mirror
2002,Governor,KS,0,False,G-KS,52.87330739076119,45.09197168334745,7.781335707413739,D,R,False,835692.0,441858.0,376830.0,mirror
2002,Governor,MA,0,False,G-MA,44.9362153224509,49.76749845842112,-4.831283135970224,R,R,False,2192878.0,985981.0,1091988.0,mirror
2002,Governor,MD,0,False,G-MD,47.67506809074546,51.553324709775474,-3.8782566190300116,R,D,False,1704822.0,813422.0,879592.0,mirror
2002,Governor,ME,0,False,G-ME,47.14642015875215,41.46875433005404,5.67766582869811,D,,False,505190.0,238179.0,209496.0,mirror
2002,Governor,MI,0,False,G-MI,51.416603594261645,47.398054799823136,4.018548794438509,D,R,False,3177565.0,1633796.0,1506104.0,mirror
2002,Governor,MN,0,False,G-MN,36.460725611361376,44.37225218681867,-7.9115265754572945,R,,False,2251133.0,821268.0,999473.0,mirror
2002,Governor,NE,0,False,G-NE,27.515691561796373,68.68091086943414,-41.16521930763777,R,R,False,480991.0,132348.0,330349.0,mirror
2002,Governor,NH,0,False,G-NH,38.21358267716536,58.61784837101784,-20.40426569385248,R,D,False,441968.0,169277.0,259663.0,mirror
2002,Governor,NM,0,False,G-NM,55.48837026803213,39.0460790569829,16.44229121104923,D,R,False,484233.0,268693.0,189074.0,mirror
2002,Governor,NV,0,False,G-NV,22.00746311590048,68.24346977358708,-46.2360066576866,R,R,False,480405.0,110935.0,344001.0,mirror
2002,Governor,NY,0,False,G-NY,32.702504046073216,48.22576065323831,-15.523256607165095,R,R,False,4579078.0,1534064.0,2262255.0,mirror
2002,Governor,OH,0,False,G-OH,38.30681525380057,57.7581796424395,-19.45136438863893,R,R,False,3228992.0,1236924.0,1865007.0,mirror
2002,Governor,OK,0,False,G-OK,43.2729186381105,42.60993414572913,0.6629844923813693,D,R,False,1035620.0,448143.0,441277.0,mirror
2002,Governor,OR,0,False,G-OR,49.02859745005343,46.15520703341618,2.8733904166372497,D,D,False,1257549.0,618004.0,581785.0,mirror
2002,Governor,PA,0,False,G-PA,53.412643087402,44.372218898494665,9.040424188907338,D,R,False,3581989.0,1913235.0,1589408.0,mirror
2002,Governor,RI,0,False,G-RI,45.242067603054906,54.75793239694509,-9.51586479389018,R,R,False,332056.0,150229.0,181827.0,mirror
2002,Governor,SC,0,False,G-SC,47.04597260150308,52.849037441603286,-5.803064840100205,R,D,False,1106562.0,521140.0,585422.0,mirror
2002,Governor,SD,0,False,G-SD,41.92474272101483,56.76726676012302,-14.842524039108191,R,R,False,334559.0,140263.0,189920.0,mirror
2002,Governor,TN,0,False,G-TN,50.64727278006396,47.59367928346017,3.0535934966037885,D,R,False,1652791.0,837284.0,786803.0,mirror
2002,Governor,TX,0,False,G-TX,39.96054446356566,57.808487376007,-17.84794291244134,R,R,False,4553987.0,1819798.0,2632591.0,mirror
2002,Governor,VT,0,False,G-VT,42.38989229278635,44.9407154122549,-2.5508231194685536,R,D,False,230012.0,97565.0,103436.0,mirror
2002,Governor,WI,0,False,G-WI,45.090570924364734,41.3878623301672,3.7027085941975315,D,R,False,1772983.0,800515.0,734779.0,mirror
2002,Governor,WY,0,False,G-WY,49.96360381539855,47.92056465310392,2.043039162294626,D,R,False,185459.0,92662.0,88873.0,mirror
2003,Governor,KY,0,False,G-KY,44.9639713395167,55.0360286604833,-10.072057320966593,R,D,False,1083443.0,487159.0,596284.0,mirror
2003,Governor,MS,0,False,G-MS,45.81251600079151,52.58924948042845,-6.776733479636938,R,D,False,894487.0,409787.0,470404.0,mirror
2004,Governor,DE,0,False,G-DE,50.86865574255879,45.78584764186765,5.082808100691146,D,D,False,364759.0,185548.0,167008.0,mirror
2004,Governor,IN,0,False,G-IN,45.49319623704001,53.21270427829633,-7.719508041256319,R,D,False,2448498.0,1113900.0,1302912.0,mirror
2004,Governor,MO,0,False,G-MO,47.85418732688165,50.83172188252754,-2.9775345556458888,R,D,False,2719599.0,1301442.0,1382419.0,mirror
2004,Governor,MT,0,False,G-MT,50.43550765892779,46.01924033836457,4.416267320563222,D,R,False,446146.0,225016.0,205313.0,mirror
2004,Governor,NC,0,False,G-NC,55.61593122183574,42.87796900669059,12.737962215145146,D,D,False,3486688.0,1939154.0,1495021.0,mirror
2004,Governor,ND,0,False,G-ND,27.392502791925686,71.25446223960856,-43.86195944768287,R,R,False,309822.0,84868.0,220762.0,mirror
2004,Governor,NH,0,False,G-NH,51.017810560402985,48.87124823843363,2.1465623219693555,D,R,False,666280.0,340299.0,325981.0,mirror
2004,Governor,UT,0,False,G-UT,41.34516718118179,57.7405539371277,-16.395386755945907,R,R,False,919960.0,380359.0,531190.0,mirror
2004,Governor,VT,0,False,G-VT,37.934914399340414,58.6966713548992,-20.761756955558788,R,R,False,309080.0,117327.0,181540.0,mirror
2004,Governor,WA,0,False,G-WA,48.87304817195944,48.86845751938216,0.004590652577277865,D,D,False,2810058.0,1373361.0,1373232.0,mirror
2004,Governor,WV,0,False,G-WV,63.50578225307045,34.0031943774658,29.502587875604647,D,D,False,744433.0,472758.0,253131.0,mirror
2005,Governor,NJ,0,False,G-NJ,53.47153114341345,43.02307454830555,10.4484565951079,D,D,False,2290099.0,1224551.0,985271.0,mirror
2005,Governor,VA,0,False,G-VA,51.71657312461374,45.98936977827156,5.727203346342179,D,D,False,1982222.0,1025942.0,912327.0,mirror
2006,Governor,AK,0,False,G-AK,40.97302399271875,48.32969551916805,-7.356671526449297,R,R,False,236938.0,97238.0,114697.0,mirror
2006,Governor,AL,0,False,G-AL,41.572823438241016,57.44773076796964,-15.874907329728622,R,R,False,1238154.0,519827.0,718327.0,mirror
2006,Governor,AR,0,False,G-AR,55.6055403521454,40.66711416326741,14.93842618887799,D,R,False,774680.0,430765.0,315040.0,mirror
2006,Governor,AZ,0,False,G-AZ,62.58488763696944,35.440274639828644,27.144612997140797,D,D,False,1533645.0,959830.0,543528.0,mirror
2006,Governor,CA,0,False,G-CA,38.9050599717769,55.88114453783527,-16.97608456605837,R,R,False,8679416.0,3376732.0,4850157.0,mirror
2006,Governor,CO,0,False,G-CO,56.9851188203381,40.16525945002076,16.81985937031734,D,R,False,1558277.0,887986.0,625886.0,mirror
2006,Governor,CT,0,False,G-CT,35.445665467401774,63.20155661141504,-27.75589114401327,R,R,False,1123466.0,398220.0,710048.0,mirror
2006,Governor,FL,0,False,G-FL,45.10596839687986,52.17859013888228,-7.072621742002418,R,R,False,4829270.0,2178289.0,2519845.0,mirror
2006,Governor,GA,0,False,G-GA,38.217638895760736,57.94612628022533,-19.728487384464593,R,R,False,2122185.0,811049.0,1229724.0,mirror
2006,Governor,HI,0,False,G-HI,35.35047848626984,62.53372638427022,-27.183247898000374,R,R,False,344315.0,121717.0,215313.0,mirror
2006,Governor,IA,0,False,G-IA,54.02499869452318,44.379091483069146,9.64590721145403,D,D,False,1052005.0,569021.0,467425.0,mirror
2006,Governor,ID,0,False,G-ID,44.10623025872165,52.66640344962204,-8.560173190900386,R,R,False,450832.0,198845.0,237437.0,mirror
2006,Governor,IL,0,False,G-IL,49.795468627293005,39.26093455082089,10.534534076472113,D,D,False,3487729.0,1736731.0,1369315.0,mirror
2006,Governor,KS,0,False,G-KS,57.90196539955278,40.43615393668353,17.465811462869247,D,D,False,849700.0,491993.0,343586.0,mirror
2006,Governor,MA,0,False,G-MA,55.635448393736496,35.334238228220016,20.30121016551648,D,R,False,2217147.0,1234984.0,784342.0,mirror
2006,Governor,MD,0,False,G-MD,52.69085553112537,46.15873257299046,6.532122958134913,D,R,False,1787110.0,942279.0,825464.0,mirror
2006,Governor,ME,0,False,G-ME,38.10861100269576,30.211576339030437,7.897034663665323,D,D,False,550865.0,209927.0,166425.0,mirror
2006,Governor,MI,0,False,G-MI,56.36329150154581,42.304070023171285,14.059221478374525,D,D,False,3801256.0,2142513.0,1608086.0,mirror
2006,Governor,MN,0,False,G-MN,45.732583364844295,46.69075874616478,-0.958175381320487,R,R,False,2201993.0,1007460.0,1028568.0,mirror
2006,Governor,NE,0,False,G-NE,24.45660875324636,73.397128541502,-48.94051978825564,R,R,False,593357.0,145115.0,435507.0,mirror
2006,Governor,NH,0,False,G-NH,74.01587486463245,25.82775548842592,48.18811937620653,D,D,False,402900.0,298677.0,104223.0,mirror
2006,Governor,NM,0,False,G-NM,68.81735429296994,31.18264570703006,37.634708585939876,D,D,False,559170.0,384806.0,174364.0,mirror
2006,Governor,NV,0,False,G-NV,43.92003545429248,47.92564905060138,-4.005613596308898,R,R,False,561459.0,255684.0,279003.0,mirror
2006,Governor,NY,0,False,G-NY,65.70447822384074,27.125821143936175,38.57865707990456,D,R,False,4437220.0,3086709.0,1274335.0,mirror
