race_id,office,state,polled,rating,blend_margin,w_hier,w_fund,w_rating,p_dem,margin_mean,margin_p10,margin_p90
H-AL-01,House,AL,False,Safe R,-27.11816741814781,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.001613367905502737,-28.125092,-38.72072,-17.380417
H-AL-02,House,AL,False,Safe R,-21.97211277430145,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.003514837222702391,-22.998676,-33.57418,-12.2926445
H-AL-03,House,AL,False,Safe R,-33.87304164331435,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.0011380005762028234,-34.909836,-45.592335,-24.227785
H-AL-04,House,AL,False,Safe R,-57.742650040238544,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.0011524056467876692,-58.796925,-69.58566,-48.25734
H-AL-05,House,AL,False,Safe R,-27.456103036810845,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.0013396715643906655,-28.566856,-39.18609,-17.835243
H-AL-06,House,AL,False,Safe R,-30.989372215973017,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.0011235955056179776,-32.024937,-42.61636,-21.406816
H-AL-07,House,AL,False,Safe D,36.83122850299454,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.9986747335061942,35.75875,25.13603,46.41145
H-AK-01,House,AK,True,Likely R,-7.958113352876657,0.7576079054256301,0.24239209457368874,6.811836386463726e-13,0.11760299625468165,-8.21995,-17.317764,0.60221255
H-AZ-01,House,AZ,True,Lean R,-7.81027160877832,0.7576079054256301,0.24239209457368874,6.811836386463726e-13,0.11171132238547969,-8.065492,-16.337843,0.47731003
H-AZ-02,House,AZ,True,Safe R,-11.722798646245513,0.7576079054256301,0.24239209457368874,6.811836386463726e-13,0.04016133679055028,-12.010542,-20.912724,-3.1830137
H-AZ-03,House,AZ,False,Safe D,51.007538270839,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.9986603284356094,49.915134,39.372368,60.673103
H-AZ-04,House,AZ,True,Toss-up,6.013544488674492,0.7576079054256301,0.24239209457368874,6.811836386463726e-13,0.8206136560069144,5.704233,-2.0379705,14.037117
H-AZ-05,House,AZ,False,Safe R,-20.02718060802492,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.006453471622010948,-21.101748,-31.750849,-10.307236
H-AZ-06,House,AZ,True,Lean R,-6.756344731762636,0.7576079054256301,0.24239209457368874,6.811836386463726e-13,0.14397868049553442,-7.028762,-15.438737,1.571347
H-AZ-07,House,AZ,False,Safe D,35.14970285084738,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.9987611639297033,34.136856,23.468481,44.791042
H-AZ-08,House,AZ,True,Safe R,-19.29299221515981,0.7576079054256301,0.24239209457368874,6.811836386463726e-13,0.0036876980697205415,-19.55242,-28.278997,-10.735012
H-AZ-09,House,AZ,False,Safe R,-28.524276010112818,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.000965139729184673,-29.54134,-40.13919,-18.847301
H-AR-01,House,AR,False,Safe R,-37.838084482277175,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.0010371650821089024,-38.861557,-49.51504,-28.244413
H-AR-02,House,AR,True,Safe R,-8.576574562902369,0.7576079054256301,0.24239209457368874,6.811836386463726e-13,0.10929127052722558,-8.877192,-18.52285,0.3436198
H-AR-03,House,AR,False,Safe R,-24.205022011043404,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.0023768366464995676,-25.248714,-35.884354,-14.553978
H-AR-04,House,AR,False,Safe R,-33.675618679056086,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.0009363295880149813,-34.683697,-45.356697,-23.96273
H-CA-01,House,CA,True,Safe R,2.357542554500132,0.7576079054256301,0.24239209457368874,6.811836386463726e-13,0.4127772976087583,2.070541,-13.887351,28.126102
H-CA-02,House,CA,False,Safe D,33.848138967235066,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.9953759723422645,32.784695,18.845478,46.699913
H-CA-03,House,CA,True,Lean R,11.868637133390017,0.7576079054256301,0.24239209457368874,6.811836386463726e-13,0.8609622587150677,11.517141,-1.3673325,31.606222
H-CA-04,House,CA,False,Safe D,33.853543656632574,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.9948285796600403,32.816135,18.755156,46.767933
H-CA-05,House,CA,False,Safe R,25.746959258340098,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.9722270239124172,24.717962,10.932212,39.370872
H-CA-06,House,CA,False,Likely D,33.347068808802064,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.9918179199078075,32.270252,17.921162,46.39096
H-CA-07,House,CA,False,Safe D,33.83483331206613,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.9947853644482858,32.780434,18.818085,46.763348
H-CA-08,House,CA,False,Safe D,33.79513602977684,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.994583693460098,32.731705,18.712395,46.656403
H-CA-09,House,CA,False,Likely D,33.325359027409945,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.9912849322961682,32.333733,17.9641,46.531925
H-CA-10,House,CA,False,Safe D,33.84600146361436,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.9944252376836646,32.825863,18.796497,46.835167
H-CA-11,House,CA,False,Safe D,33.82009471318351,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.9952463267070009,32.87381,18.829247,46.899708
H-CA-12,House,CA,False,Safe D,33.826170877127595,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.9950590607893979,32.713795,18.580482,46.68914
H-CA-13,House,CA,True,Lean D,16.97194889605269,0.7576079054256301,0.24239209457368874,6.811836386463726e-13,0.9857101699798329,16.717676,5.3044534,35.190586
H-CA-14,House,CA,False,Safe D,33.85228631190658,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.9942523768366465,32.799118,18.791767,46.874992
H-CA-15,House,CA,False,Safe D,33.80713207632887,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.9945116681071737,32.776604,18.651852,46.814377
H-CA-16,House,CA,False,Safe D,33.77191350541781,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.9948861999423797,32.74167,18.680494,46.727345
H-CA-17,House,CA,False,Safe D,33.83393106085753,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.9943820224719101,32.804386,18.784094,46.720512
H-CA-18,House,CA,False,Safe D,33.87211403898781,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.9950446557188131,32.894444,18.955732,46.886723
H-CA-19,House,CA,False,Safe D,33.81003754586477,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.9947133390953615,32.67831,18.51579,46.75689
H-CA-20,House,CA,False,Safe R,25.743474217298676,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.970930567559781,24.67812,11.017265,39.29556
H-CA-21,House,CA,False,Safe D,33.80467537450219,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.9951743013540766,32.787724,18.820118,46.825577
H-CA-22,House,CA,False,Likely D,26.467507621528878,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.9822961682512245,25.424805,11.191992,39.484196
H-CA-23,House,CA,True,Safe R,3.646041443326133,0.7576079054256301,0.24239209457368874,6.811836386463726e-13,0.4331028522039758,3.2859356,-10.458456,28.128609
H-CA-24,House,CA,False,Safe D,33.84713644839744,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.9951887064246615,32.758003,18.712862,46.78153
