cycle,office,component,n,brier,log_loss,accuracy,expected_dem_seats,actual_dem_seats
2010,Governor,blend,36,0.09161727625728382,0.29311512790059574,0.9444444444444444,12.074660294603541,13.0
2010,Governor,hier,36,0.08804088301787455,0.277089679772728,0.9444444444444444,11.955264758716789,13.0
2010,Governor,polls,31,0.05928697791403583,0.20405359136262194,0.967741935483871,10.203585923957693,12.0
2010,Governor,fund,36,0.32685929396160956,1.030162202208421,0.5277777777777778,14.236889178539052,13.0
2010,House,blend,354,0.052883792331463196,0.1676207397628313,0.9293785310734464,166.44027460258408,155.0
2010,House,hier,354,0.052151097515728426,0.16129912547558076,0.923728813559322,164.79838847030697,155.0
2010,House,polls,109,0.11481137969672349,0.3593941993008763,0.8532110091743119,49.48288048541874,48.0
2010,House,fund,354,0.0926578141051681,0.3652215799773868,0.8785310734463276,182.24902009668682,155.0
2010,Senate,blend,31,0.049142241036031244,0.16130694614685312,0.9354838709677419,9.841086178937802,10.0
2010,Senate,hier,31,0.05215561520562678,0.16497561734062177,0.9354838709677419,9.76140969804038,10.0
2010,Senate,polls,27,0.0518311895461805,0.15800596362592007,0.9259259259259259,8.846067696488728,10.0
2010,Senate,fund,31,0.1673037556912468,1.0376438010588964,0.8387096774193549,16.209331863586375,10.0
2014,Governor,blend,35,0.07919738652984183,0.2500417210030785,0.9142857142857143,13.70838332397592,11.0
2014,Governor,hier,35,0.07970059872218474,0.24636959620979465,0.8857142857142857,13.819301303404494,11.0
2014,Governor,polls,35,0.08100436328716151,0.24870538438374387,0.8857142857142857,13.89443918620279,11.0
2014,Governor,fund,35,0.1350811245619267,0.419384689384233,0.8285714285714286,11.886087531241674,11.0
2014,House,blend,328,0.02776491603817306,0.09083757903496265,0.9603658536585366,136.05451586225632,135.0
2014,House,hier,328,0.02718788037496323,0.09312931390147185,0.9603658536585366,136.29849488296793,135.0
2014,House,polls,51,0.08307989421930753,0.2697543684595405,0.9019607843137255,18.367328803806146,14.0
2014,House,fund,328,0.03556570366916596,0.11152794122152686,0.948170731707317,136.22720952505182,135.0
2014,Senate,blend,29,0.039904814429491446,0.1410782332730069,0.9655172413793104,12.88234853155743,11.0
2014,Senate,hier,29,0.03724668389518258,0.12885861646574473,0.9655172413793104,12.788086405436372,11.0
2014,Senate,polls,29,0.037357269801196,0.12824663937447323,0.9655172413793104,12.68465526697069,11.0
2014,Senate,fund,29,0.20054211358041896,0.7894297137510586,0.6896551724137931,13.769428668098378,11.0
2018,Governor,blend,36,0.09143809681027625,0.2841866247741996,0.8333333333333334,17.898398441751734,16.0
2018,Governor,hier,36,0.09105602667007433,0.2788610864262947,0.8333333333333334,18.032635670258493,16.0
2018,Governor,polls,32,0.0839225732186169,0.2619252937266331,0.875,16.01086630973976,15.0
2018,Governor,fund,36,0.15391885528171523,0.4755134280637219,0.8055555555555556,16.808584933836677,16.0
2018,Governor,rating,36,0.07440487737691591,0.23748482421406847,0.8888888888888888,17.885193499927123,16.0
2018,House,blend,389,0.038915995598923975,0.13411396679082715,0.9434447300771208,184.8574258343005,197.0
2018,House,hier,389,0.03964489832213685,0.13899288550496783,0.9460154241645244,186.32368181323227,197.0
2018,House,polls,104,0.11365305202861485,0.3617927014086826,0.8653846153846154,42.40229089748895,46.0
2018,House,fund,389,0.05638605517464509,0.17825511117779194,0.9151670951156813,175.25661639844867,197.0
2018,House,rating,389,0.02133164105629359,0.07596989454255969,0.9640102827763496,192.13655057792124,197.0
2018,Senate,blend,32,0.07692938721173719,0.25087850969694103,0.9375,22.07193876267101,21.0
2018,Senate,hier,32,0.07403437528782959,0.23693574068598866,0.9375,22.124442661668205,21.0
2018,Senate,polls,25,0.0625991199489846,0.21035052891237396,0.92,16.513065700480862,16.0
2018,Senate,fund,32,0.12075634260713668,0.4075671777111935,0.84375,19.468091829363424,21.0
2018,Senate,rating,32,0.08417015720656158,0.4151618436890273,0.90625,23.724790636666327,21.0
2022,Governor,blend,36,0.047906625821060506,0.17134679455534413,0.9444444444444444,15.164030228829796,18.0
2022,Governor,hier,36,0.045683486384860854,0.16278827896115533,0.9444444444444444,15.343866976833695,18.0
2022,Governor,polls,31,0.0444569184666316,0.15570641036302382,0.9354838709677419,13.99252950132768,16.0
2022,Governor,fund,36,0.18631413306233793,0.5265766014657812,0.6666666666666666,9.216708846675703,18.0
2022,House,blend,394,0.06281985741675093,0.19383254192968713,0.8984771573604061,164.97777831809935,198.0
2022,House,hier,394,0.0583669261228536,0.1861915603740674,0.9111675126903553,168.38368829577595,198.0
2022,House,polls,37,0.16108827557260988,0.46550508724266154,0.7027027027027027,20.849148547043125,28.0
2022,House,fund,394,0.07879400152905577,0.24635883592154628,0.8730964467005076,157.26752500918488,198.0
2022,Senate,blend,34,0.04284415855374518,0.14520645447657837,0.9117647058823529,14.069380028176637,16.0
2022,Senate,hier,34,0.04067822108795471,0.1424575598363879,0.9411764705882353,14.139668582868133,16.0
2022,Senate,polls,27,0.05069756963088793,0.17250456957107363,0.9259259259259259,12.211595713539486,14.0
2022,Senate,fund,34,0.1102217861035979,0.32259497350952604,0.8529411764705882,10.302421336893,16.0
2010,All,blend,421,0.055920413070587066,0.1778869401686845,0.9311163895486936,188.35602107612544,178.0
2014,All,blend,392,0.03325520563142979,0.10876901766197117,0.9566326530612245,162.6452477177897,157.0
2018,All,blend,457,0.04571517322522311,0.15411195598206798,0.9343544857768052,224.82776303872322,234.0
2022,All,blend,464,0.0601990597900547,0.18852483960451027,0.9030172413793104,194.2111885751058,232.0
