dem_seats,count,prob
40,2,2.881014116969173e-05
41,10,0.00014405070584845865
42,60,0.000864304235090752
43,281,0.004047824834341688
44,927,0.013353500432152117
45,2625,0.0378133102852204
46,5857,0.08437049841544224
47,10458,0.15064822817631807
48,14422,0.2077499279746471
49,14765,0.2126908671852492
50,11047,0.15913281475079227
51,5756,0.0829155862863728
52,2339,0.03369346009795448
53,706,0.010169979832901181
54,141,0.002031114952463267
55,21,0.00030250648228176316
56,3,4.3215211754537596e-05
