cycle,pres_party,approval,war_salience,weeks_since_escalation,verify
1946,D,33,0.1,,True
1950,D,39,0.9,,True
1954,R,61,0.1,,True
1958,R,57,0.1,,True
1962,D,61,0.3,,True
1966,D,44,0.8,,True
1970,R,58,0.8,,True
1974,R,54,0.1,,True
1978,D,49,0.05,,True
1982,R,42,0.05,,True
1986,R,63,0.1,,True
1990,R,58,0.6,,True
1994,D,46,0.05,,True
1998,D,66,0.1,,True
2002,R,63,0.7,,True
2006,R,38,0.8,,True
2010,D,45,0.4,,True
2014,D,42,0.3,,True
2018,R,40,0.1,,True
2022,D,40,0.3,,True
